created_at;author.username;text
20-08-2016 19:31;ortegabalboa;muchas gracias!! #NOmasAFP https://t.co/pyCJoru6Gy
20-08-2016 13:47;Andrezautomata;Por presiones,  en realidad #21deAgosto #NomasAFP  https://t.co/vo3eo5UTL7
20-08-2016 11:31;Claudio_2012;The latest El Diario de Claudio Rodriguez! https://t.co/Kz2I7wgejK Thanks to @Publionline_ @Igra_ine @helenaherting #temuco #nomasafp
19-08-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/Mdk3H0OIDY Thanks to @difamadores @cientist_rgodoy @Amras_Anarion #chillanonline #nomasafp
19-08-2016 22:27;lagosriederer;NO MAS AFP´s...!! https://t.co/FgfqNJIxiy
19-08-2016 21:28;confed_bancaria;Video de @derogarDL3500  #NOmasAFP\nhttps://t.co/9H5cpUvqDU\n@gmobastias
19-08-2016 21:26;confed_bancaria;Video de @derogarDL3500  #NOmasAFP\nhttps://t.co/9QNTtL8JQA\n@gmobastias
18-08-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/OySTx8HIsQ Thanks to @jaran_13 @eduardogonzalo @Lasolecontreras #nomasafps #nomasafp
18-08-2016 16:43;MarceAbedrapo;#LaFlorida dice #NoMásAFP junto a todo Chile! https://t.co/AXeKZYgazy
18-08-2016 15:41;bochornoficial;"#LasClavesDelExito simple #NOMasAFP ;) https://t.co/fQySueL9Mu"
17-08-2016 15:34;JuanKASO;Esto se resuelve con #NOMasAFP https://t.co/tGtqRhKGsv
17-08-2016 14:23;ortegabalboa;Todas las AFP lo son... #NOmasAFP https://t.co/pPUdQqpgro
15-08-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/mhbkJqT5aP Thanks to @jaran_13 @Marccella85 @JulioStgoCentro #nomasafp #nomásafp
15-08-2016 2:07;SrTimoshenko;Simple #NoMásAFP https://t.co/0J8R4Cng7D
14-08-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/RN3Ukj4tJU Thanks to @TuTioPelao @LaRedTV #rio2016 #nomasafp
